"Age","Sex","Education","Veg","Fruit","Year","BMI"
59,"Male","Degree or higher","Yes","Yes","2011",27.3181949371638
27,"Female","Degree or higher","Yes","Yes","2011",28.7137036797517
26,"Female","Degree or higher","Yes","Yes","2011",24.7657043923369
27,"Male","HNC/D or equiv","Yes","Yes","2011",24.8446888830992
79,"Female","No qualifications","Yes","Yes","2011",33.3575990762799
73,"Male","Other school level","Yes","Yes","2011",32.8717252177118
73,"Female","Degree or higher","Yes","Yes","2011",32.5907174061261
66,"Male","Standard grade or equiv","No","Yes","2011",27.6454293628809
63,"Female","Other school level","No","Yes","2011",25.7773636915262
27,"Female","Degree or higher","Yes","No","2011",24.5398773006135
72,"Female","Other school level","Yes","Yes","2011",28.8156183042547
45,"Female","Standard grade or equiv","Yes","Yes","2011",22.3328035137955
77,"Female","No qualifications","Yes","Yes","2011",26.9654651701362
50,"Female","HNC/D or equiv","Yes","No","2011",25.9378118834664
65,"Male","Other school level","Yes","Yes","2011",24.9826989619377
67,"Female","Other school level","Yes","Yes","2011",29.3230034683122
56,"Female","No qualifications","Yes","Yes","2011",34.0525201567497
60,"Male","No qualifications","No","No","2011",23.8936169288448
61,"Female","No qualifications","No","No","2011",22.5205656854875
67,"Female","Degree or higher","Yes","Yes","2011",28.2924104695078
67,"Male","Higher grade or equiv","Yes","No","2011",22.1381626092832
56,"Female","Degree or higher","Yes","Yes","2011",40.4487834482907
45,"Male","No qualifications","Yes","Yes","2011",26.4099859645043
77,"Male","Degree or higher","Yes","Yes","2011",24.572680788897
66,"Female","Degree or higher","Yes","Yes","2011",25.1364550416547
27,"Male","Degree or higher","Yes","No","2011",28.2943243230073
26,"Female","Degree or higher","Yes","No","2011",28.0686329771591
45,"Female","Degree or higher","Yes","Yes","2011",33.0631658132932
44,"Male","HNC/D or equiv","Yes","Yes","2011",26.6521811309334
22,"Male","HNC/D or equiv","Yes","Yes","2011",22.1807636579846
23,"Male","Standard grade or equiv","Yes","Yes","2011",20.9690442619836
22,"Male","Standard grade or equiv","No","Yes","2011",22.8011966828059
23,"Female","Higher grade or equiv","No","No","2011",29.5626357883271
21,"Female","Degree or higher","Yes","Yes","2011",20.4657544513016
63,"Male","Degree or higher","Yes","No","2011",29.5342872430858
64,"Female","Other school level","Yes","No","2011",30.7497140533913
21,"Male","Degree or higher","Yes","Yes","2011",27.5535180602323
23,"Female","HNC/D or equiv","Yes","Yes","2011",22.5895514360501
26,"Male","Standard grade or equiv","Yes","Yes","2011",24.396259329233
22,"Female","Standard grade or equiv","Yes","No","2011",17.3048864766026
25,"Male","Standard grade or equiv","Yes","No","2011",22.5215694736213
21,"Female","Degree or higher","Yes","Yes","2011",22.304409496567
21,"Male","Higher grade or equiv","Yes","Yes","2011",18.4967560324781
22,"Female","HNC/D or equiv","Yes","No","2011",20.3455206841009
26,"Male","Higher grade or equiv","Yes","Yes","2011",22.1903482609718
64,"Male","No qualifications","No","No","2011",23.6122292015615
53,"Female","Higher grade or equiv","Yes","Yes","2011",36.0375647510615
79,"Male","HNC/D or equiv","No","Yes","2011",35.5590959040089
84,"Female","No qualifications","No","Yes","2011",19.8823164787968
81,"Male","Other school level","Yes","Yes","2011",26.4944503715616
76,"Female","No qualifications","Yes","Yes","2011",35.6382346839811
45,"Male","Standard grade or equiv","Yes","No","2011",28.698367876244
21,"Male","Degree or higher","Yes","No","2011",25.3942967499965
59,"Female","No qualifications","Yes","No","2011",23.2293451418472
76,"Male","Degree or higher","Yes","Yes","2011",28.5004026469661
63,"Female","Standard grade or equiv","Yes","Yes","2011",37.4753451676529
68,"Male","Higher grade or equiv","Yes","Yes","2011",42.9146842560554
78,"Female","No qualifications","No","No","2011",30.4434291857028
78,"Male","Other school level","No","Yes","2011",26.5503799565216
57,"Male","HNC/D or equiv","Yes","Yes","2011",31.2811923253016
53,"Female","Standard grade or equiv","Yes","Yes","2011",25.0025952986348
36,"Male","Standard grade or equiv","No","No","2011",23.9010489342338
79,"Male","Degree or higher","Yes","No","2011",26.5564738292011
60,"Female","No qualifications","Yes","Yes","2011",33.2889332938601
62,"Male","Standard grade or equiv","No","Yes","2011",30.0909983675135
71,"Male","Degree or higher","Yes","Yes","2011",31.8807253882496
70,"Female","Degree or higher","Yes","Yes","2011",29.3251494962515
67,"Male","Standard grade or equiv","Yes","Yes","2011",28.4646837730032
64,"Female","Standard grade or equiv","Yes","No","2011",25.6128018573129
45,"Female","Degree or higher","Yes","Yes","2011",24.1682911281308
55,"Male","Degree or higher","Yes","Yes","2011",27.2719637606874
55,"Female","Higher grade or equiv","Yes","Yes","2011",21.2178993062599
48,"Male","HNC/D or equiv","Yes","No","2011",20.7332973779819
22,"Male","HNC/D or equiv","No","No","2011",25.6674104057265
48,"Female","Higher grade or equiv","Yes","No","2011",24.187297431384
76,"Female","No qualifications","Yes","No","2011",28.1777333663055
41,"Male","Degree or higher","Yes","Yes","2011",29.8388611621158
35,"Female","Degree or higher","Yes","Yes","2011",26.7809608190235
41,"Female","Degree or higher","Yes","Yes","2011",28.5123911497538
71,"Female","No qualifications","Yes","Yes","2011",31.1053240740741
44,"Male","Degree or higher","Yes","Yes","2011",27.1978811845484
35,"Female","Degree or higher","Yes","Yes","2011",24.3530636525877
30,"Female","Degree or higher","Yes","No","2011",39.6875
30,"Male","Degree or higher","Yes","Yes","2011",34.4895880488909
19,"Male","No qualifications","Yes","Yes","2011",23.423827796848
31,"Male","Degree or higher","Yes","Yes","2011",28.5262523024761
66,"Female","No qualifications","Yes","No","2011",27.7093547099542
52,"Female","Standard grade or equiv","Yes","Yes","2011",33.7041420118343
69,"Male","No qualifications","Yes","Yes","2011",32.7019185125527
22,"Female","Standard grade or equiv","No","No","2011",21.5405116784257
26,"Male","Degree or higher","Yes","Yes","2011",26.2800229352927
26,"Female","Degree or higher","Yes","Yes","2011",24.3603920694375
50,"Male","Higher grade or equiv","Yes","Yes","2011",38.6022646661938
45,"Female","Standard grade or equiv","No","No","2011",35.3924039981042
48,"Male","Standard grade or equiv","No","No","2011",28.6983669953924
58,"Female","No qualifications","Yes","No","2011",23.1481129536688
58,"Female","Standard grade or equiv","Yes","No","2011",20.3592829901433
32,"Female","Degree or higher","Yes","Yes","2011",27.6471998007522
28,"Male","HNC/D or equiv","Yes","Yes","2011",26.6504511808777
25,"Female","Higher grade or equiv","Yes","No","2011",29.2337372025845
29,"Male","Standard grade or equiv","Yes","No","2011",21.4744457531449
21,"Male","Standard grade or equiv","No","No","2011",23.8954644910675
29,"Female","Higher grade or equiv","Yes","Yes","2011",27.3977539725824
77,"Male","No qualifications","Yes","Yes","2011",29.1585032098815
82,"Female","No qualifications","Yes","Yes","2011",29.0942823410356
45,"Male","HNC/D or equiv","No","Yes","2011",27.9527115781573
39,"Female","Degree or higher","No","Yes","2011",19.2235008927524
63,"Male","Degree or higher","Yes","No","2011",30.1803019498993
73,"Male","Degree or higher","Yes","Yes","2011",25.0566218952384
72,"Female","Standard grade or equiv","Yes","Yes","2011",28.2740833328046
75,"Male","No qualifications","No","Yes","2011",27.1637406493284
45,"Male","Standard grade or equiv","Yes","No","2011",22.5236931926469
84,"Female","No qualifications","Yes","Yes","2011",21.8007099573308
81,"Female","Degree or higher","Yes","Yes","2011",29.6199945286391
44,"Male","Degree or higher","No","No","2011",24.1677774767206
47,"Male","Degree or higher","Yes","No","2011",24.8725325355926
62,"Female","Other school level","Yes","No","2011",37.1137808898733
34,"Male","Degree or higher","Yes","No","2011",28.5803268272962
48,"Female","Degree or higher","Yes","No","2011",26.7629373177842
49,"Female","Standard grade or equiv","Yes","Yes","2011",27.5163087679153
49,"Male","Standard grade or equiv","No","No","2011",32.1329639889197
52,"Female","Degree or higher","Yes","Yes","2011",27.9595478881618
23,"Female","Degree or higher","Yes","No","2011",23.0538369967976
36,"Male","Standard grade or equiv","No","Yes","2011",20.6782208421585
28,"Female","Degree or higher","Yes","Yes","2011",23.2780612244898
45,"Female","Degree or higher","Yes","Yes","2011",23.5466764026077
18,"Male","Standard grade or equiv","Yes","No","2011",17.5415149186408
72,"Female","Other school level","Yes","Yes","2011",28.5360331496433
60,"Female","Standard grade or equiv","Yes","Yes","2011",28.0341013931747
61,"Male","HNC/D or equiv","Yes","Yes","2011",29.6871211620269
47,"Male","HNC/D or equiv","Yes","No","2011",24.3543562097561
35,"Female","Degree or higher","Yes","Yes","2011",31.5759318401256
23,"Female","Standard grade or equiv","Yes","No","2011",26.4798371209114
41,"Male","Degree or higher","Yes","Yes","2011",22.284676486294
49,"Female","Degree or higher","Yes","Yes","2011",23.5890695076412
39,"Male","HNC/D or equiv","Yes","Yes","2011",35.8863132094435
72,"Male","Degree or higher","Yes","Yes","2011",37.9150023744113
65,"Female","Degree or higher","Yes","Yes","2011",26.9556811421773
79,"Male","No qualifications","Yes","No","2011",22.8594369529344
57,"Female","Other school level","Yes","Yes","2011",24.4687775120049
33,"Female","Degree or higher","Yes","No","2011",27.7601798929275
45,"Female","Degree or higher","Yes","Yes","2011",28.6811302261582
43,"Male","Degree or higher","Yes","Yes","2011",27.698887366768
55,"Female","Degree or higher","Yes","Yes","2011",25.5937370619895
58,"Male","Degree or higher","Yes","No","2011",35.6903342692271
47,"Female","Standard grade or equiv","Yes","Yes","2011",34.2233999802609
39,"Female","Higher grade or equiv","Yes","Yes","2011",28.9993074792244
32,"Male","Higher grade or equiv","Yes","Yes","2011",31.4197530864198
81,"Female","No qualifications","Yes","Yes","2011",30.1658611075132
88,"Male","Other school level","Yes","Yes","2011",19.1784606068626
82,"Male","No qualifications","Yes","No","2011",27.0203193430571
59,"Female","No qualifications","Yes","Yes","2011",26.2719341241055
60,"Male","No qualifications","No","No","2011",28.0457467508477
63,"Female","No qualifications","No","Yes","2011",38.90625
56,"Male","Standard grade or equiv","Yes","No","2011",30.8241282623651
35,"Male","Degree or higher","No","Yes","2011",36.1044929897627
82,"Female","No qualifications","Yes","Yes","2011",20.9198528673524
91,"Female","Degree or higher","Yes","Yes","2011",23.2858602247461
38,"Female","Standard grade or equiv","Yes","Yes","2011",22.0671696169372
45,"Male","No qualifications","Yes","No","2011",27.3412878684926
38,"Male","Standard grade or equiv","Yes","No","2011",21.2817665611753
26,"Female","Higher grade or equiv","Yes","Yes","2011",35.2236196654187
29,"Male","Standard grade or equiv","Yes","No","2011",20.8667112294737
47,"Male","Degree or higher","Yes","Yes","2011",22.2318375841492
47,"Female","Degree or higher","Yes","Yes","2011",21.3551086284655
65,"Male","Degree or higher","Yes","Yes","2011",31.7342458677686
83,"Female","Degree or higher","No","No","2011",19.6929285112146
69,"Female","Standard grade or equiv","No","Yes","2011",22.4
73,"Male","No qualifications","No","Yes","2011",26.801967373801
70,"Male","Degree or higher","Yes","Yes","2011",27.9777239631225
66,"Female","No qualifications","Yes","Yes","2011",31.4671383467452
40,"Female","Standard grade or equiv","Yes","Yes","2011",22.0183682972258
43,"Male","No qualifications","Yes","Yes","2011",27.258083626249
42,"Male","Higher grade or equiv","Yes","Yes","2011",37.6576005338554
41,"Female","Higher grade or equiv","Yes","No","2011",38.4087791495199
43,"Female","Standard grade or equiv","Yes","Yes","2011",24.8047337278106
91,"Male","No qualifications","Yes","Yes","2011",21.0722874442939
85,"Female","No qualifications","Yes","Yes","2011",24.6886063098709
42,"Female","Higher grade or equiv","Yes","Yes","2011",43.4419206885001
42,"Male","Standard grade or equiv","No","Yes","2011",26.9424636683972
20,"Male","Higher grade or equiv","Yes","Yes","2011",35.0089268002381
65,"Male","Standard grade or equiv","Yes","No","2011",36.97560696617
26,"Male","No qualifications","Yes","Yes","2011",35.9625686973237
48,"Male","Standard grade or equiv","Yes","Yes","2011",30.3727559819628
59,"Male","Higher grade or equiv","Yes","Yes","2011",30.7096216574612
64,"Female","Other school level","Yes","No","2011",21.4185309696742
24,"Male","Standard grade or equiv","No","No","2011",22.9486685359044
23,"Female","HNC/D or equiv","No","No","2011",17.8472551128761
40,"Male","HNC/D or equiv","Yes","No","2011",27.6299066109157
53,"Female","HNC/D or equiv","Yes","Yes","2011",22.3644735764576
56,"Male","Higher grade or equiv","Yes","Yes","2011",22.8375659389921
78,"Male","No qualifications","Yes","Yes","2011",25.3786931048143
76,"Female","Higher grade or equiv","Yes","Yes","2011",37.5702100615597
49,"Female","No qualifications","No","Yes","2011",23.2514487766356
41,"Male","Higher grade or equiv","No","No","2011",24.5429298424257
74,"Male","HNC/D or equiv","Yes","No","2011",26.7258373524001
71,"Female","No qualifications","Yes","Yes","2011",35.3023140549968
77,"Male","Higher grade or equiv","Yes","Yes","2011",22.7346671004699
82,"Male","Degree or higher","Yes","No","2011",25.789349112426
80,"Female","Degree or higher","Yes","No","2011",26.761257418851
44,"Female","Degree or higher","Yes","Yes","2011",24.7266878021865
16,"Male","No qualifications","Yes","Yes","2011",21.6187547020792
23,"Male","No qualifications","Yes","No","2011",17.8494874848475
21,"Male","No qualifications","Yes","Yes","2011",19.0585096245474
19,"Male","No qualifications","No","No","2011",30.1492403838061
67,"Female","No qualifications","Yes","No","2011",36.4940904605501
48,"Female","No qualifications","Yes","No","2011",19.9400087099915
21,"Female","Higher grade or equiv","No","No","2011",28.0479715455802
41,"Female","No qualifications","No","Yes","2011",35.4593355198636
24,"Female","HNC/D or equiv","No","Yes","2011",19.9799438614374
54,"Male","Standard grade or equiv","No","No","2011",30.0793091116912
57,"Female","Standard grade or equiv","No","No","2011",27.1151264297733
28,"Male","No qualifications","No","No","2011",31.8427778102867
25,"Female","No qualifications","No","Yes","2011",25.2010942315115
24,"Female","Degree or higher","Yes","No","2011",19.9716907513628
23,"Male","HNC/D or equiv","Yes","No","2011",24.4090017178302
45,"Female","HNC/D or equiv","Yes","Yes","2011",46.128793160847
18,"Female","Higher grade or equiv","No","No","2011",21.0302836083961
76,"Female","Degree or higher","Yes","Yes","2011",30.0733677397721
79,"Male","No qualifications","No","No","2011",24.1516725033209
55,"Male","Higher grade or equiv","Yes","No","2011",37.0077970466104
69,"Male","No qualifications","Yes","Yes","2011",31.5257181354047
50,"Male","Degree or higher","Yes","Yes","2011",28.0053210109921
66,"Female","No qualifications","Yes","Yes","2011",28.1918200349868
29,"Female","Degree or higher","Yes","Yes","2011",35.7654847201286
34,"Male","Degree or higher","Yes","Yes","2011",31.379132231405
53,"Male","HNC/D or equiv","Yes","Yes","2011",39.7920622897333
48,"Female","Standard grade or equiv","Yes","Yes","2011",29.2149893855057
46,"Male","Standard grade or equiv","Yes","No","2011",31.2545190769188
59,"Female","No qualifications","No","No","2011",33.0347847647027
58,"Male","No qualifications","No","Yes","2011",25.7959905660377
38,"Female","No qualifications","No","Yes","2011",17.9312455148391
58,"Male","No qualifications","No","Yes","2011",25.6359994664059
57,"Female","Degree or higher","No","Yes","2011",24.221468034055
54,"Male","Degree or higher","No","Yes","2011",35.096472883026
24,"Female","Standard grade or equiv","Yes","No","2011",27.4989490447346
37,"Female","Standard grade or equiv","Yes","Yes","2011",21.732699865378
40,"Male","Standard grade or equiv","Yes","No","2011",26.2761251772241
47,"Female","Higher grade or equiv","Yes","No","2011",29.4041042127185
49,"Male","Degree or higher","Yes","Yes","2011",30.1329332639715
81,"Male","Degree or higher","Yes","Yes","2011",32.0976954258429
81,"Female","Degree or higher","Yes","Yes","2011",29.432571928064
46,"Male","Standard grade or equiv","Yes","Yes","2011",30.9316189224549
42,"Female","HNC/D or equiv","Yes","Yes","2011",32.8410366289154
67,"Female","Degree or higher","Yes","Yes","2011",31.8066157760814
50,"Male","Degree or higher","No","Yes","2011",32.9757785467128
33,"Male","Standard grade or equiv","Yes","Yes","2011",38.1997879689477
25,"Female","Degree or higher","Yes","Yes","2011",24.058915242122
39,"Female","HNC/D or equiv","Yes","Yes","2011",32.4906051709021
17,"Female","Higher grade or equiv","Yes","Yes","2011",34.0537075616401
59,"Male","No qualifications","Yes","Yes","2011",29.2738433732284
58,"Female","Higher grade or equiv","Yes","Yes","2011",25.0496031746032
71,"Female","No qualifications","Yes","Yes","2011",27.258145905421
45,"Male","Standard grade or equiv","No","No","2011",30.2661655198416
38,"Female","Higher grade or equiv","No","Yes","2011",24.5548587081892
63,"Male","No qualifications","Yes","Yes","2011",27.9845913044736
53,"Male","No qualifications","Yes","Yes","2011",32.1007215152379
68,"Female","No qualifications","Yes","Yes","2011",26.787243012764
29,"Female","Higher grade or equiv","Yes","Yes","2011",33.1174727201215
58,"Female","Degree or higher","Yes","Yes","2011",41.5714067977442
61,"Male","No qualifications","Yes","No","2011",33.0893604718791
58,"Male","Higher grade or equiv","Yes","Yes","2011",29.3622816856273
54,"Female","Standard grade or equiv","Yes","Yes","2011",41.4459470012495
34,"Female","Higher grade or equiv","No","No","2011",33.4243107472015
68,"Male","No qualifications","Yes","Yes","2011",38.8241378513314
44,"Male","Standard grade or equiv","Yes","Yes","2011",21.6201071241437
40,"Female","Degree or higher","Yes","Yes","2011",21.8162290368415
70,"Female","No qualifications","Yes","Yes","2011",41.8059515280485
17,"Female","Standard grade or equiv","Yes","Yes","2011",36.2927329139506
65,"Male","No qualifications","Yes","Yes","2011",25.8486424214273
42,"Female","HNC/D or equiv","Yes","Yes","2011",33.8791119031707
39,"Female","Standard grade or equiv","Yes","No","2011",39.060152635058
41,"Female","Higher grade or equiv","No","No","2011",19.5886456302584
61,"Male","No qualifications","Yes","No","2011",19.6282647011697
33,"Female","Standard grade or equiv","Yes","Yes","2011",22.890625
74,"Male","Standard grade or equiv","Yes","No","2011",24.4882031897046
70,"Male","Standard grade or equiv","No","No","2011",26.3708836544856
54,"Female","No qualifications","Yes","Yes","2011",25.6751377078305
25,"Female","Standard grade or equiv","No","No","2011",25.124834142933
30,"Male","Higher grade or equiv","No","No","2011",22.3883003359344
51,"Female","Standard grade or equiv","Yes","Yes","2011",24.500614661121
20,"Female","Higher grade or equiv","No","No","2011",24.5538870707577
67,"Male","No qualifications","No","Yes","2011",34.7222106072674
68,"Female","No qualifications","No","No","2011",25.4936399162418
37,"Male","Standard grade or equiv","No","No","2011",22.856387898005
43,"Male","No qualifications","Yes","No","2011",22.9226707372035
22,"Male","HNC/D or equiv","Yes","No","2011",29.8448979591837
50,"Male","Degree or higher","No","Yes","2011",21.8602093367528
48,"Female","Degree or higher","Yes","Yes","2011",19.4749101454641
25,"Female","Standard grade or equiv","Yes","Yes","2011",19.7097717652721
25,"Male","HNC/D or equiv","Yes","No","2011",30.4623058225708
45,"Female","Higher grade or equiv","No","No","2011",20.2382202618498
51,"Male","Higher grade or equiv","Yes","No","2011",24.4116915373246
51,"Female","Degree or higher","Yes","Yes","2011",26.0197297429007
24,"Female","Degree or higher","No","Yes","2011",21.1101944075341
44,"Male","Degree or higher","Yes","Yes","2011",26.0682612201021
50,"Female","HNC/D or equiv","Yes","Yes","2011",22.460545073119
62,"Male","Other school level","Yes","Yes","2011",32.5806594354018
48,"Male","Standard grade or equiv","Yes","Yes","2011",29.1283038462026
51,"Female","Degree or higher","Yes","Yes","2011",24.0493435943866
64,"Male","Higher grade or equiv","Yes","Yes","2011",30.4747992321467
64,"Female","Degree or higher","Yes","Yes","2011",26.8330546380877
60,"Male","No qualifications","No","No","2011",21.5292977860705
55,"Female","Other school level","Yes","No","2011",28.7355884942096
66,"Male","No qualifications","No","No","2011",37.8275570583263
57,"Female","No qualifications","No","No","2011",31.1673420854668
58,"Male","Higher grade or equiv","Yes","Yes","2011",23.3406508264463
49,"Male","Standard grade or equiv","Yes","Yes","2011",26.3671360016875
47,"Female","Higher grade or equiv","Yes","Yes","2011",25.1948400967482
19,"Female","Higher grade or equiv","No","No","2011",26.3048518298097
16,"Male","Standard grade or equiv","No","No","2011",28.8977451132619
61,"Male","Degree or higher","Yes","Yes","2011",31.0563355624803
50,"Male","Other school level","Yes","Yes","2011",27.4026157183685
57,"Female","Standard grade or equiv","Yes","Yes","2011",31.6088198033341
65,"Female","No qualifications","No","No","2011",33.6991073444279
77,"Female","No qualifications","No","No","2011",24.1619295709123
69,"Female","Standard grade or equiv","Yes","No","2011",26.6405800279598
29,"Female","Standard grade or equiv","Yes","Yes","2011",23.9361608510009
53,"Female","No qualifications","Yes","No","2011",27.799977599376
80,"Female","Degree or higher","Yes","Yes","2011",27.1532201387966
54,"Female","Higher grade or equiv","Yes","No","2011",32.6572843102732
26,"Female","HNC/D or equiv","Yes","Yes","2011",22.6367893802924
35,"Male","Degree or higher","Yes","No","2011",23.7210988123735
31,"Female","Degree or higher","Yes","No","2011",25.6677166341044
24,"Female","Standard grade or equiv","Yes","Yes","2011",25.1270921035382
30,"Male","Higher grade or equiv","Yes","No","2011",21.2688835299745
29,"Female","Degree or higher","No","No","2011",20.9501682422689
22,"Female","No qualifications","Yes","No","2011",22.6692236908867
41,"Male","Higher grade or equiv","No","Yes","2011",29.6921816244043
77,"Female","Higher grade or equiv","No","Yes","2011",22.7765180146133
78,"Male","Other school level","No","Yes","2011",24.8535899157664
41,"Male","Other school level","No","No","2011",25.4241828261968
34,"Female","Degree or higher","Yes","Yes","2011",32.3149124507802
19,"Female","Higher grade or equiv","Yes","Yes","2011",21.6638432333718
51,"Male","Degree or higher","Yes","Yes","2011",19.1824776785714
47,"Female","Higher grade or equiv","Yes","Yes","2011",22.7441444396908
43,"Female","Standard grade or equiv","Yes","No","2011",26.5990840663226
42,"Male","Standard grade or equiv","Yes","No","2011",27.3783755926613
25,"Female","HNC/D or equiv","Yes","Yes","2011",24.6464646464646
29,"Male","Standard grade or equiv","Yes","Yes","2011",32.2630137799879
27,"Male","HNC/D or equiv","Yes","Yes","2011",20.6171948045952
45,"Female","Higher grade or equiv","No","No","2011",23.8143535234695
46,"Male","HNC/D or equiv","No","No","2011",26.6196066931292
18,"Female","Higher grade or equiv","No","No","2011",20.9905546494677
84,"Male","No qualifications","No","No","2011",31.8572680741163
60,"Female","Higher grade or equiv","Yes","Yes","2011",26.5730861292547
43,"Male","Higher grade or equiv","No","No","2011",20.7154927434648
39,"Female","No qualifications","No","No","2011",21.5445346380518
50,"Male","Other school level","Yes","Yes","2011",28.0412060231717
39,"Female","Degree or higher","Yes","Yes","2011",24.2578125
76,"Male","Degree or higher","Yes","No","2011",28.6507911738086
64,"Female","Standard grade or equiv","Yes","Yes","2011",25.6240889212828
67,"Male","Other school level","Yes","Yes","2011",20.8255852620071
50,"Female","Other school level","Yes","Yes","2011",30.0289013939712
52,"Male","No qualifications","Yes","Yes","2011",25.665306122449
59,"Female","No qualifications","Yes","No","2011",37.8571655932689
64,"Female","Higher grade or equiv","Yes","Yes","2011",27.0051309748852
60,"Male","HNC/D or equiv","Yes","Yes","2011",34.4052263266907
34,"Female","Standard grade or equiv","Yes","Yes","2011",21.6857506266021
45,"Female","Higher grade or equiv","Yes","Yes","2011",24.3604735744323
68,"Female","Other school level","Yes","Yes","2011",25.5948412264029
67,"Male","No qualifications","Yes","Yes","2011",31.5960129739023
66,"Female","No qualifications","Yes","Yes","2011",32.7699788440872
63,"Male","Other school level","Yes","Yes","2011",27.313721904646
56,"Female","Higher grade or equiv","Yes","Yes","2011",25.3091697365428
79,"Female","Standard grade or equiv","Yes","No","2011",42.7382431602147
72,"Female","Degree or higher","Yes","Yes","2011",29.9058065856774
56,"Female","Degree or higher","Yes","Yes","2011",25.4163864619502
59,"Male","Degree or higher","Yes","Yes","2011",26.2054426546298
34,"Male","Degree or higher","Yes","No","2011",26.5050705689745
45,"Female","HNC/D or equiv","Yes","Yes","2011",21.946491343578
67,"Male","No qualifications","Yes","Yes","2011",29.5604109556953
26,"Male","Higher grade or equiv","Yes","Yes","2011",26.7185348621623
77,"Male","Higher grade or equiv","Yes","Yes","2011",29.7571359901115
69,"Female","Degree or higher","Yes","Yes","2011",24.7971307204106
46,"Female","Degree or higher","No","Yes","2011",27.2666518155491
39,"Male","Higher grade or equiv","No","Yes","2011",24.6276681185787
38,"Female","Standard grade or equiv","No","Yes","2011",21.7822107710977
58,"Female","Standard grade or equiv","Yes","Yes","2011",29.0761871163257
30,"Female","Degree or higher","Yes","Yes","2011",22.4448192118922
86,"Female","Higher grade or equiv","Yes","Yes","2011",25.5754056406885
31,"Female","Degree or higher","Yes","No","2011",22.4755568177208
43,"Male","Degree or higher","Yes","No","2011",26.1746160341894
42,"Female","Degree or higher","Yes","Yes","2011",22.8818035118247
55,"Male","Degree or higher","Yes","Yes","2011",24.0007304278239
38,"Male","Standard grade or equiv","Yes","Yes","2011",31.2467652826188
51,"Male","HNC/D or equiv","Yes","No","2011",29.0678097714569
57,"Female","Degree or higher","Yes","Yes","2011",29.1047998442645
58,"Male","Degree or higher","Yes","Yes","2011",29.6559486800458
47,"Male","Degree or higher","Yes","Yes","2011",32.252077007031
67,"Male","Higher grade or equiv","Yes","Yes","2011",25.9531651734051
67,"Female","Degree or higher","Yes","Yes","2011",20.9286756737168
82,"Female","No qualifications","Yes","Yes","2011",24.3687260856061
83,"Female","Other school level","Yes","Yes","2011",36.1565073559389
68,"Female","Higher grade or equiv","No","Yes","2011",27.260589963493
42,"Female","Standard grade or equiv","Yes","Yes","2011",33.4148612504905
43,"Male","Degree or higher","Yes","No","2011",32.7654278173626
52,"Female","Other school level","No","Yes","2011",20.16354071775
66,"Female","Other school level","Yes","Yes","2011",27.7014565847416
55,"Male","Standard grade or equiv","Yes","Yes","2011",25.7343930534645
49,"Female","Standard grade or equiv","Yes","Yes","2011",35.2080475537266
70,"Male","No qualifications","No","Yes","2011",28.2190110796371
65,"Female","No qualifications","Yes","Yes","2011",22.1709598872229
44,"Female","Degree or higher","Yes","Yes","2011",41.3088982869836
30,"Female","Other school level","Yes","Yes","2011",27.3246468999008
27,"Female","HNC/D or equiv","Yes","Yes","2011",26.8251790885536
48,"Male","Degree or higher","Yes","No","2011",23.7962962962963
48,"Female","Degree or higher","Yes","No","2011",35.5418855995557
72,"Female","No qualifications","No","Yes","2011",28.4436117552342
68,"Female","No qualifications","Yes","Yes","2011",30.7489067055393
39,"Female","Standard grade or equiv","Yes","Yes","2011",24.2815420617254
73,"Female","No qualifications","Yes","Yes","2011",19.8119980290352
76,"Female","Other school level","Yes","Yes","2011",36.2590496544763
58,"Female","No qualifications","Yes","Yes","2011",30.8030803080308
54,"Female","Degree or higher","Yes","Yes","2011",36.7865195205886
56,"Female","Standard grade or equiv","Yes","Yes","2011",26.6153101924955
47,"Female","No qualifications","No","No","2011",29.756402401292
51,"Female","HNC/D or equiv","Yes","No","2011",46.7086527370903
30,"Female","Higher grade or equiv","Yes","Yes","2011",23.5935314998745
22,"Male","Standard grade or equiv","Yes","Yes","2011",27.0853439414982
83,"Female","No qualifications","No","Yes","2011",33.617396180765
49,"Female","Higher grade or equiv","Yes","No","2011",36.8812931599861
44,"Female","Standard grade or equiv","No","No","2011",38.1335270527122
41,"Male","No qualifications","Yes","Yes","2011",37.2698650987261
70,"Female","Degree or higher","Yes","Yes","2011",24.943055282376
66,"Male","HNC/D or equiv","Yes","Yes","2011",25.7173983735723
61,"Male","Standard grade or equiv","Yes","Yes","2011",29.0665497487943
50,"Female","Degree or higher","Yes","Yes","2011",34.0497148336383
52,"Male","Degree or higher","Yes","Yes","2011",37.2645807003688
47,"Female","Higher grade or equiv","Yes","Yes","2011",41.6812286204043
67,"Female","No qualifications","Yes","Yes","2011",27.3817479765352
62,"Male","Standard grade or equiv","Yes","Yes","2011",19.2253674978933
30,"Male","Degree or higher","Yes","Yes","2011",31.2366688462658
58,"Male","Other school level","Yes","Yes","2011",32.0077241574954
59,"Female","HNC/D or equiv","Yes","Yes","2011",25.5356103509761
50,"Female","Degree or higher","Yes","Yes","2011",24.949040258196
48,"Male","No qualifications","Yes","Yes","2011",24.023808670085
31,"Male","HNC/D or equiv","Yes","Yes","2011",29.9134847737186
48,"Female","HNC/D or equiv","Yes","Yes","2011",24.934426590844
